(4/15/2020 1:37:01 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:37:01 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:37:01 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/16/2020 9:56:55 AM) .....:::::: INICIANDO ROBOT ::::::.....
(4/16/2020 9:56:55 AM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/16/2020 9:56:57 AM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/16/2020 9:56:57 AM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/16/2020 9:56:57 AM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Estadisticas encontradas en la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Obteniendo Log de Negocio
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Archivo con log de negocio fue creado
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de obtencion de registros desde la tabla de estadisticas
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Recorriendo registros traidos por el SP
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Si es la ultima fila, se colocan los diseños correspondientes al footer
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Se crea la estructura del header
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Union del header, body y footer de la tabla
(4/16/2020 9:56:58 AM) RPA_CAU_REN | <4_Estadisticas> | Se envia la tabla por correo a las personas correspondientes
(4/16/2020 10:39:06 AM) .....:::::: INICIANDO ROBOT ::::::.....
(4/16/2020 10:39:06 AM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Seteando Dia, Mes y Año
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Colocando 0 a la derecha para el formato del dia
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Colocando 0 a la derecha para el formato del mes
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Union de la fecha con formato YYYY-MM-DD
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Quitando caracter especial (Asi no lo toma como INT y realiza una operacion matematica)
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Obteniendo nombre del mes con el numero que corresponda
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Seteo de fecha del periodo usado para el proceso
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Estadisticas encontradas en la tabla
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Obteniendo Log de Negocio
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Archivo con log de negocio fue creado
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de obtencion de registros desde la tabla de estadisticas
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Recorriendo registros traidos por el SP
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 10:39:09 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 10:39:10 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 10:39:10 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 10:39:10 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
(4/16/2020 10:39:10 AM) RPA_CAU_REN | <4_Estadisticas> | Si es una fila cualquiera, se une a la estructura de la tabla
